"algo","PA","run","TSS","species","AUC","species_original","n_occ"
"GAM","PA1","RUN2",0.758,"Amphibalanuseburneus",0.895,"amphibalanus_eburneus",55
"XGBOOST","PA1","RUN2",0.697,"Amphibalanuseburneus",0.964,"amphibalanus_eburneus",55
"RF","PA1","RUN3",0.758,"Amphibalanuseburneus",0.939,"amphibalanus_eburneus",55
"MAXNET","PA1","RUN3",0.818,"Amphibalanuseburneus",0.966,"amphibalanus_eburneus",55
"MARS","PA1","RUN3",0.758,"Amphibalanuseburneus",0.924,"amphibalanus_eburneus",55
"GAM","PA1","RUN3",0.667,"Amphibalanuseburneus",0.908,"amphibalanus_eburneus",55
"XGBOOST","PA1","RUN3",0.697,"Amphibalanuseburneus",0.921,"amphibalanus_eburneus",55
"RF","PA1","RUN4",0.697,"Amphibalanuseburneus",0.967,"amphibalanus_eburneus",55
"MAXNET","PA1","RUN4",0.758,"Amphibalanuseburneus",0.948,"amphibalanus_eburneus",55
"MARS","PA1","RUN4",0.636,"Amphibalanuseburneus",0.897,"amphibalanus_eburneus",55
"GAM","PA1","RUN4",0.697,"Amphibalanuseburneus",0.833,"amphibalanus_eburneus",55
"XGBOOST","PA1","RUN4",0.727,"Amphibalanuseburneus",0.935,"amphibalanus_eburneus",55
"RF","PA1","RUN5",0.697,"Amphibalanuseburneus",0.971,"amphibalanus_eburneus",55
"MAXNET","PA1","RUN5",0.697,"Amphibalanuseburneus",0.948,"amphibalanus_eburneus",55
"MARS","PA1","RUN5",0.697,"Amphibalanuseburneus",0.92,"amphibalanus_eburneus",55
"GAM","PA1","RUN5",0.545,"Amphibalanuseburneus",0.909,"amphibalanus_eburneus",55
"XGBOOST","PA1","RUN5",0.576,"Amphibalanuseburneus",0.937,"amphibalanus_eburneus",55
"RF","PA1","allRun",NA,"Amphibalanuseburneus",NA,"amphibalanus_eburneus",55
"MAXNET","PA1","allRun",NA,"Amphibalanuseburneus",NA,"amphibalanus_eburneus",55
"MARS","PA1","allRun",NA,"Amphibalanuseburneus",NA,"amphibalanus_eburneus",55
"GAM","PA1","allRun",NA,"Amphibalanuseburneus",NA,"amphibalanus_eburneus",55
"XGBOOST","PA1","allRun",NA,"Amphibalanuseburneus",NA,"amphibalanus_eburneus",55
"RF","PA2","RUN1",0.606,"Amphibalanuseburneus",0.939,"amphibalanus_eburneus",55
"MAXNET","PA2","RUN1",0.818,"Amphibalanuseburneus",0.913,"amphibalanus_eburneus",55
"MARS","PA2","RUN1",0.636,"Amphibalanuseburneus",0.866,"amphibalanus_eburneus",55
"GAM","PA2","RUN1",0.788,"Amphibalanuseburneus",0.948,"amphibalanus_eburneus",55
"XGBOOST","PA2","RUN1",0.727,"Amphibalanuseburneus",0.912,"amphibalanus_eburneus",55
"RF","PA2","RUN2",0.667,"Amphibalanuseburneus",0.923,"amphibalanus_eburneus",55
"MAXNET","PA2","RUN2",0.636,"Amphibalanuseburneus",0.906,"amphibalanus_eburneus",55
"MARS","PA2","RUN2",0.697,"Amphibalanuseburneus",0.88,"amphibalanus_eburneus",55
